Stream,Dist,Proportion_Downstream,W_2019,W_1957,Curve,Curvepos,Slump,Migdist,MR,Mignorm,MRnorm
CHC,270,0.082568807,6.76,1.98,0.002404477,0.002404477,7,0.16,0.002580645,0.080808081,0.000381752
CHC,300,0.091743119,5.86,3.12,0.001182416,0.001182416,6,2.74,0.044193548,0.878205128,0.007541561
CHC,330,0.100917431,8.29,3.87,0.005482756,0.005482756,15,0.19,0.003064516,0.049095607,0.000369664
CHC,360,0.110091743,7.09,2.81,0.025647519,0.025647519,9,0.23,0.003709677,0.081850534,0.000523227
CHC,390,0.119266055,8.47,3.8,0.047166869,0.047166869,9,1.95,0.031451613,0.513157895,0.003713296
CHC,420,0.128440367,6.42,4.01,0.012391451,0.012391451,12,0.78,0.012580645,0.194513716,0.001959602
CHC,450,0.137614679,9.37,4.2,-0.000570375,0.000570375,8,0.61,0.00983871,0.145238095,0.001050022
CHC,480,0.146788991,8.29,5.03,-0.010557954,0.010557954,7,1.59,0.025645161,0.31610338,0.003093506
CHC,510,0.155963303,7.3,3.86,-0.029490777,0.029490777,8,0.18,0.002903226,0.046632124,0.000397702
CHC,540,0.165137615,9.23,4.47,-0.03566376,0.03566376,2,0.78,0.012580645,0.174496644,0.001363017
CHC,570,0.174311927,10.19,4.83,-0.028138116,0.028138116,12,0.98,0.015806452,0.202898551,0.001551173
CHC,600,0.183486239,11.97,10.87,-0.023950743,0.023950743,12,0.81,0.013064516,0.074517019,0.001091438
CHC,630,0.19266055,15.7,13.91,-0.012947665,0.012947665,6,2.82,0.045483871,0.202731848,0.002897062
CHC,660,0.201834862,13.86,12.38,-0.001865754,0.001865754,9,0.19,0.003064516,0.015347334,0.000221105
CHC,690,0.211009174,14.62,14.75,0.008745485,0.008745485,19,0.36,0.005806452,0.02440678,0.000397158
CHC,720,0.220183486,14.25,15.2,0.022825389,0.022825389,14,1.21,0.019516129,0.079605263,0.001369553
CHC,750,0.229357798,13.51,12.39,0.019776083,0.019776083,7,4.62,0.074516129,0.372881356,0.005515628
CHC,780,0.23853211,18.54,14.08,0.008990664,0.008990664,11,4.29,0.069193548,0.3046875,0.003732122
CHC,810,0.247706422,24.91,19.46,0.00354257,0.00354257,10,0.57,0.009193548,0.029290853,0.000369071
CHC,840,0.256880734,25.06,13.47,-0.000107846,0.000107846,4,0.9,0.014516129,0.066815145,0.000579255
CHC,870,0.266055046,25.23,13.66,-0.002856372,0.002856372,4,5.62,0.090645161,0.411420205,0.003592753
CHC,900,0.275229358,22.97,14.53,-0.00347611,0.00347611,8,2.73,0.044032258,0.18788713,0.001916946
CHC,930,0.28440367,23.22,13.22,-0.001785805,0.001785805,13,4.37,0.070483871,0.330559758,0.003035481
CHC,960,0.293577982,20.37,18.12,6.61E-05,6.60714E-05,5,0.5,0.008064516,0.027593819,0.000395902
CHC,990,0.302752294,19.32,14.78,0.000975878,0.000975878,5,0.57,0.009193548,0.038565629,0.000475857
CHC,1020,0.311926606,21.65,14.88,-0.000312853,0.000312853,8,0.87,0.014032258,0.058467742,0.000648141
CHC,1050,0.321100917,20.31,15.43,-0.003010009,0.003010009,15,3.29,0.053064516,0.213220998,0.002612729
CHC,1080,0.330275229,22.25,15.85,-0.006325489,0.006325489,6,3.05,0.049193548,0.192429022,0.002210946
CHC,1110,0.339449541,20.84,14.55,-0.008563236,0.008563236,6,1.97,0.031774194,0.135395189,0.001524673
CHC,1140,0.348623853,22.77,18.65,-0.009001064,0.009001064,3,2.5,0.040322581,0.134048257,0.001770864
CHC,1170,0.357798165,21.11,16.88,-0.008937249,0.008937249,0,0.59,0.009516129,0.034952607,0.000450788
CHC,1200,0.366972477,23.4,14.72,-0.009471382,0.009471382,3,1.32,0.021290323,0.089673913,0.000909843
CHC,1230,0.376146789,23.47,14.26,-0.00993427,0.00993427,6,1.62,0.026129032,0.113604488,0.001113295
CHC,1260,0.385321101,24.12,12.97,-0.008839384,0.008839384,4,2.06,0.033225806,0.158828065,0.001377521
CHC,1290,0.394495413,26.66,18.13,-0.006383565,0.006383565,4,1.72,0.027741935,0.094870381,0.001040583
CHC,1320,0.403669725,26.09,18.39,-0.003666348,0.003666348,11,1.62,0.026129032,0.088091354,0.001001496
CHC,1350,0.412844037,25.88,20.11,-0.001573205,0.001573205,6,1.34,0.021612903,0.066633516,0.00083512
CHC,1380,0.422018349,24.31,19.57,-0.000158492,0.000158492,14,0.07,0.001129032,0.003576903,4.64431E-05
CHC,1410,0.431192661,25.94,17.63,0.00126655,0.00126655,12,1.57,0.025322581,0.089052751,0.000976198
CHC,1440,0.440366972,23.61,18.41,0.003467397,0.003467397,10,0.53,0.008548387,0.028788702,0.000362066
CHC,1470,0.449541284,22.41,14.91,0.006599165,0.006599165,16,3.05,0.049193548,0.204560698,0.002195161
CHC,1500,0.458715596,22.6,14.58,0.01076805,0.01076805,10,2.45,0.039516129,0.168038409,0.001748501
CHC,1530,0.467889908,25.02,14.71,0.014880818,0.014880818,12,0.59,0.009516129,0.04010877,0.000380341
CHC,1560,0.47706422,25.28,12.25,0.016755054,0.016755054,2,1.5,0.024193548,0.12244898,0.000957023
CHC,1590,0.486238532,30.08,16.86,0.016156332,0.016156332,1,0.51,0.008225806,0.03024911,0.000273464
CHC,1620,0.495412844,28.91,18,0.016629397,0.016629397,11,2.73,0.044032258,0.151666667,0.001523081
CHC,1650,0.504587156,33.89,15.93,0.01680042,0.01680042,9,2.77,0.044677419,0.17388575,0.001318307
CHC,1680,0.513761468,28.56,20.85,0.012655386,0.012655386,6,1.24,0.02,0.059472422,0.00070028
CHC,1710,0.52293578,39.65,39.45,0.006165445,0.006165445,7,5.05,0.081451613,0.128010139,0.002054265
CHC,1740,0.532110092,45.26,41.15,0.000621805,0.000621805,13,2.08,0.033548387,0.05054678,0.000741237
CHC,1770,0.541284404,38.73,33.88,-0.003153146,0.003153146,6,1.72,0.027741935,0.050767414,0.000716291
CHC,1800,0.550458716,34.35,32.06,-0.005250526,0.005250526,5,5.44,0.087741935,0.169681847,0.00255435
CHC,1830,0.559633028,31.55,29.02,-0.006041485,0.006041485,0,4.01,0.064677419,0.138180565,0.002049997
CHC,1860,0.568807339,34.57,28.58,-0.006768072,0.006768072,5,1.07,0.017258065,0.037438768,0.000499221
CHC,1890,0.577981651,37.06,32.89,-0.006591217,0.006591217,4,5.82,0.093870968,0.176953481,0.002532946
CHC,1920,0.587155963,34.96,28.21,-0.005699837,0.005699837,5,7.29,0.117580645,0.258419,0.003363291
CHC,1950,0.596330275,32.17,27.53,-0.005217972,0.005217972,4,5.95,0.095967742,0.216127861,0.002983144
CHC,1980,0.605504587,31.41,28.49,-0.005691911,0.005691911,13,7,0.112903226,0.245700246,0.003594499
CHC,2010,0.614678899,31.5,33.15,-0.006550754,0.006550754,11,6.17,0.099516129,0.18612368,0.003159242
CHC,2040,0.623853211,35.2,32.7,-0.006821975,0.006821975,6,1.83,0.029516129,0.055963303,0.000838526
CHC,2070,0.633027523,33.54,32.72,-0.005968705,0.005968705,8,3.29,0.053064516,0.100550122,0.001582126
CHC,2100,0.642201835,31.31,32.15,-0.005400301,0.005400301,7,0.93,0.015,0.028926905,0.00047908
CHC,2130,0.651376147,36.8,34.71,-0.006635724,0.006635724,8,1,0.016129032,0.028810141,0.000438289
CHC,2160,0.660550459,43.01,34.48,-0.009932974,0.009932974,0,1.8,0.029032258,0.052204176,0.000675012
CHC,2190,0.669724771,35.82,37.14,-0.012600314,0.012600314,2,0.07,0.001129032,0.00188476,3.15196E-05
CHC,2220,0.678899083,39.26,43.65,-0.009614369,0.009614369,2,3.12,0.050322581,0.071477663,0.001281777
CHC,2250,0.688073394,43.51,39.3,-0.003665215,0.003665215,10,4.55,0.073387097,0.115776081,0.001686672
CHC,2280,0.697247706,46.04,45.07,0.001891825,0.001891825,8,4.23,0.068225806,0.093854005,0.001481881
CHC,2310,0.706422018,50,51.44,0.00739452,0.00739452,9,6.5,0.10483871,0.126360809,0.002096774
CHC,2340,0.71559633,44.42,43.07,0.010170711,0.010170711,4,7.61,0.122741935,0.176689111,0.002763213
CHC,2370,0.724770642,48.51,46.46,0.007424963,0.007424963,0,5.55,0.089516129,0.119457598,0.001845313
CHC,2400,0.733944954,47.24,44.35,0.002639126,0.002639126,0,0.05,0.000806452,0.001127396,1.70714E-05
CHC,2430,0.743119266,47.61,47.06,-0.001219275,0.001219275,0,2.62,0.042258065,0.055673608,0.000887588
CHC,2460,0.752293578,48.59,47.55,-0.003536668,0.003536668,2,1.86,0.03,0.039116719,0.000617411
CHC,2490,0.76146789,47.21,46.02,-0.003764535,0.003764535,4,0.58,0.009354839,0.012603216,0.000198154
CHC,2520,0.770642202,47.55,44.2,-0.002761851,0.002761851,2,2,0.032258065,0.045248869,0.000678403
CHC,2550,0.779816514,50,44.95,-0.002291958,0.002291958,4,4.78,0.077096774,0.106340378,0.001541935
CHC,2580,0.788990826,48.66,45.91,-0.003363963,0.003363963,11,8.18,0.131935484,0.17817469,0.002711375
CHC,2610,0.798165138,47.22,44.84,-0.005621123,0.005621123,2,8.05,0.12983871,0.179527208,0.002749655
